,longitude,latitude,name,category
58,4.8658017,45.7547281003788,Mage,furniture
59,4.8641919,45.7568889003785,premierplan,kitchen
60,4.863943,45.7569126003785,Les Alizés,beauty
61,4.8627148,45.7573123003785,Le Bistrot,fast_food
62,4.8649915,45.7578280003784,Objectif PE,educational_institution
63,4.8745806,45.7553906003787,Coiff'Mod,hairdresser
64,4.8749444,45.7554294003787,Horizon XXI,estate_agent
65,4.8752409,45.7554730003787,Maison Bebium Lyon Sud,estate_agent
66,4.8738819,45.7553088003787,Seanroyale,furniture
67,4.8733819,45.7554692003787,Les Dunes,restaurant
68,4.8753581,45.7570970003785,Salon de bien être 155,massage
69,4.8759132,45.7569050003785,Centre d'esthétique,cosmetics
70,4.8757867,45.7558041003787,Diamantine,clothes
71,4.8748444,45.7554184003787,Le Volff,bar
72,4.8744125,45.7553894003787,Only Permis,driving_school
73,4.8854184,45.7314659003821,CFR LYON 8,driving_school
74,4.8832794,45.732198900382,La Vie Claire Lyon Morisot,convenience
75,4.835771,45.7713152003765,Kraspek myzik,nightclub
76,4.8551627,45.767855900377,Casa Jaguar,restaurant
77,4.8323588,45.7793393003753,La Ferme des Perrelles,deli
78,4.8323591,45.7792830003753,Bar tabac Cristal,tobacco
79,4.832349,45.7791593003754,Mac'b,clothes
80,4.8323403,45.7791030003754,"Maison Musy, chemiserie",clothes
81,4.8321851,45.7794235003753,Les Filles en Soie,clothes
82,4.8321641,45.7791493003754,Astuces,clothes
83,4.8321538,45.7790918003754,Les Pépites,fashion_accessories
84,4.8326601,45.7754479003759,,hairdresser
85,4.8323169,45.7798763003753,Shiva,cleaning
86,4.8324267,45.7796628003753,Century 21,estate_agent
87,4.8324453,45.7797602003753,Tout à 10€,clothes
88,4.8324123,45.7795447003753,MDA,appliance
89,4.827765,45.7793243003753,Icône coiffure,hairdresser
90,4.8324808,45.7799041003753,Mika mode,clothes
91,4.8272354,45.7798636003753,Banque populaire,bank
92,4.826868,45.7796848003753,Concept optique,optician
93,4.8332048,45.7795346003753,Ma sushi,restaurant
94,4.8355684,45.7798631003752,Atelier chez Fabio,repair
95,4.8334847,45.7795340003753,Flow...,interior_decoration
96,4.8327271,45.7794251003753,Rhizomes,florist
97,4.8328808,45.7794234003753,Signature - espace contemporain,estate_agent
98,4.8336878,45.7794122003753,Red médecine,tattoo
99,4.8329396,45.7795497003753,Cordonnier pailleron,shoe_repair
100,4.8344873,45.7796274003753,Le fournil d'eloïse,bakery
101,4.8351135,45.7798779003753,Napoli Gang,restaurant
102,4.8367877,45.7809784003751,Carrosserie André De Gaspéris,car_repair
103,4.8365611,45.7807501003751,Jerovine Bar,bar
104,4.8188543,45.7407800003808,Franck Provost,hairdresser
105,4.8185582,45.7406371003808,Crédit Agricole,bank
106,4.8187129,45.7407851003808,Paul,bakery
107,4.8186856,45.7405734003808,Kusmi Tea,tea
108,4.8421691,45.7543338003789,Qualité Market,convenience
109,4.8484748,45.7599816003781,BNP Paribas,bank
110,4.836128,45.7613099003779,Darty,electronics
111,4.8603899,45.7410333003807,Miason Margotin,fast_food
112,4.8358829,45.7584683003783,Jin Joo,restaurant
113,4.8157673,45.7566215003786,Grains de sucre,bakery
114,4.8657943,45.7567676003785,Bel Encadrement,frame
115,4.8659128,45.7567563003785,Cabinet Marc Aurèle,insurance
116,4.8294888,45.7542858003789,La Planche à partager,restaurant
117,4.8645127,45.7636179003776,Cycletic café vélo,bicycle
118,4.8231991,45.7268706003827,,restaurant
119,4.8535422,45.7349442003816,Kebab Azadi 2,restaurant
120,4.853475,45.7350215003816,Les opticiens lyonnais,optician
121,4.8348262,45.7672747003771,Boulangerie Augustin,bakery
122,4.8298913,45.7684101003769,Chez Marti,restaurant
123,4.8201029,45.7415359003807,Shifumii,restaurant
124,4.8137097,45.7892434003739,Mon Salade Bar,restaurant
125,4.8129937,45.7557008003787,Domaine de Limagne,butcher
126,4.8125549,45.7555886003787,Studio 7,hairdresser
127,4.8130709,45.7553227003787,Panier Sympa,convenience
128,4.8530323,45.7357634003815,Delavegas,supermarket
129,4.8528013,45.7369691003813,Bar Restaurant Jardin,restaurant
130,4.8525345,45.7376744003812,Dar Sakina,fast_food
131,4.8527791,45.7364944003814,Point Fort Fichet,key_cutter
132,4.8525976,45.7369256003813,Institut Capucine,beauty
133,4.8528767,45.7367903003813,,pharmacy
134,4.853427,45.7356051003815,Genltmn,hairdresser
135,4.8531315,45.7348375003816,Misline Good food,fast_food
136,4.8532345,45.7342521003817,E.S.Concept,painter
137,4.8527938,45.7357364003815,H.B.C,massage
138,4.8527354,45.7365632003814,Centre Horlogerie,clockmaker
139,4.8528289,45.7363441003814,Auto-École Route de Vienne,driving_school
140,4.8523951,45.7374662003813,Linhvy Coiffure,hairdresser
141,4.8528503,45.7357420003815,SN Beauty,hairdresser
142,4.8527168,45.7371880003813,L'Aziza,butcher
143,4.8534626,45.7353961003815,Idealis,doors
144,4.8526247,45.7368509003813,Diggers,chocolate
145,4.8526264,45.7374277003813,cocciMarket,supermarket
146,4.8527181,45.7365955003814,Mouss Burgers,fast_food
147,4.8525433,45.7357201003815,Le nueve lounge,pub
148,4.8526875,45.7372541003813,Le VCB,restaurant
149,4.8524588,45.7379393003812,Elsa Boulangerie,bakery
150,4.8525236,45.7377093003812,Laverie Automatique,laundry
151,4.8527599,45.7370690003813,,restaurant
152,4.8523357,45.7376278003812,Terres de Fenêtres,doors
153,4.8534855,45.7340154003817,Notre Agence Immo,estate_agent
154,4.8526546,45.7373405003813,Espace 117,tobacco
155,4.8001251,45.7787336003754,Ldlc,computer
156,4.8440923,45.7496354003795,Lyon Cycle Chic,bicycle
157,4.8429639,45.7568561003785,Le liberté,cafe
158,4.8276219,45.7756753003759,U Express Croix-Rousse,supermarket
