X;Y;osm_id;name;type;type_fr;statut;ref_uai;wikidata;com_insee;com_nom
4.80419372969254;45.7737969882936;way/472169797;Collège Jean de Verrazane;school;collège;public;0692703N;Q61594321;"69123";Lyon
4.85244750611304;45.7700419300848;way/472459810;École maternelle Jean Rostand;school;maternelle;public;0691182K;;"69123";Lyon
4.8464389033682;45.7597406470095;way/472459811;École maternelle Antoine de Saint-Exupéry;school;maternelle;public;0691053V;;"69123";Lyon
4.84727436239351;45.7585725630165;way/472459812;École élémentaire Mazenod;school;primaire;public;0692827Y;;"69123";Lyon
4.84770133782542;45.7586039588568;way/472459813;Collège Raoul Dufy;school;collège;public;0690131T;;"69123";Lyon
4.85044402372126;45.7640929590812;way/472459814;École élémentaire Jean Jaurès;school;élémentaire;public;0692574Y;;"69123";Lyon
4.85034176786028;45.7638264640114;way/472459815;École maternelle Jean Jaurès;school;maternelle;public;0691036B;;"69123";Lyon
4.84358551360691;45.7664367259226;way/472459818;École maternelle publique Pierre Corneille;school;maternelle;;0691031W;;"69123";Lyon
4.84363143459648;45.7663046786797;way/472459819;École élémentaire publique Pierre Corneille;school;primaire;public;0693030U;;"69123";Lyon
4.83775181939042;45.7457237692667;way/47246830;YNOV Lyon;college;;private;;;"69123";Lyon
4.87022995005157;45.7553728475327;way/477125366;École élémentaire Meynis;school;primaire;public;0693107C;;"69123";Lyon
4.87041106053184;45.7557736728148;way/477125367;École maternelle Meynis;school;maternelle;public;0691054W;;"69123";Lyon
4.83937784348336;45.748027454319;way/48277951;École élémentaire privée enfants précoces;school;primaire;private;0694161Y;;"69123";Lyon
4.8709095524547;45.7398887203111;way/50000135;Lycée général et technologique La Martinière Monplaisir;school;lycée;public;0692866R;Q3268789;"69123";Lyon
4.83325278288035;45.733323189514;way/5212492;École Normale Supérieure de Lyon - Site René Descartes;university;;;0694123G;Q273605;"69123";Lyon
4.8258182898021;45.7259861074063;way/5235854;Institut de Science Financière et d'Assurances;university;;public;;;"69123";Lyon
4.83026840292077;45.7349609609211;way/5235960;Groupe scolaire Claudius Berthelier;school;élémentaire;;;;"69123";Lyon
4.83009417137382;45.7677750863425;way/525908232;Lycée La Martinière Diderot - Site Terreaux - Les Augustins;school;lycée;public;0690037R;;"69123";Lyon
4.8271842160871;45.7253905213129;way/527494526;Tony Parker Adéquat Academy;university;;;;;"69123";Lyon
4.86555074959523;45.7362323162437;way/530024418;Collège Alice Guy;school;collège;public;0694295U;;"69123";Lyon
4.87580441935341;45.7474972190065;way/545809102;Centre de formation Fédération Compagnonnique;college;;;;;"69123";Lyon
4.88708906719622;45.7332213996911;way/565588524;École primaire Jean Mermoz;school;primaire;public;0691272H;;"69123";Lyon
4.88790252273496;45.732997506427;way/565588525;École maternelle Jean Mermoz B;school;maternelle;public;0691163P;;"69123";Lyon
4.88825875488022;45.7335553623829;way/565588528;Collège Jean Mermoz;school;collège;public;0690060R;;"69123";Lyon
4.8375167949069;45.7652058788412;way/565588544;Collège Ampère;school;collège;public;0692693C;;"69123";Lyon
4.88539928639297;45.7493579689348;way/565588545;Collège Molière;school;collège;public;0692411W;;"69123";Lyon
4.81741593542118;45.7711688655222;way/565588553;Collège privé Saint-Louis - Saint-Bruno;school;collège;private;0692929J;;"69123";Lyon
4.87287187054461;45.7407669991529;way/565588564;École primaire privée Pierre Termier;school;primaire;private;0691970S;;"69123";Lyon
4.87322569307852;45.7420373666123;way/565588565;Collège et Lycée privé Pierre Termier;school;"collège;lycée";private;"0690538K;0692940W";;"69123";Lyon
4.83443878286605;45.7750066489372;way/603772716;École maternelle du Gros Caillou;school;maternelle;public;0691049R;;"69123";Lyon
4.8451691397907;45.7653912933182;way/60809451;Lycée général et technologique Édouard Herriot;school;lycée;public;0690027E;;"69123";Lyon
4.8588251556601;45.7547877898995;way/62274964;Epita;college;engineer;private;0694310K;;"69123";Lyon
4.84704415839402;45.7718644429262;way/62287784;Collège Vendôme (annexe);school;collège;;;;"69123";Lyon
4.845619423935;45.7721917208513;way/62288293;Lycée du Parc (Internat-Annexe);school;lycée;public;;;"69123";Lyon
4.8452110138187;45.7705589108269;way/62290486;Collège Vendôme;school;collège;public;0692338S;Q110664222;"69123";Lyon
4.84291896860553;45.7677090562442;way/62294012;École maternelle privée Cours Diot;school;maternelle;private;0692010K;;"69123";Lyon
4.85288908129226;45.7677604233677;way/62301286;Crêche Cuvier;kindergarten;;;;;"69123";Lyon
4.88603262059093;45.7480170221428;way/62335368;École maternelle Viala;school;maternelle;public;0691059B;;"69123";Lyon
4.88976705844203;45.7510798334813;way/62336517;Crèche Municipale;kindergarten;;;;;"69123";Lyon
4.88603827394253;45.7491093467613;way/62337323;École primaire Louise;school;primaire;public;0692262J;;"69123";Lyon
4.875897127831;45.7523168553975;way/62340095;Annexe école primaire privée Charles de Foucauld;school;primaire;private;0693261V;;"69123";Lyon
4.88512715980705;45.748447303932;way/62342541;Montchatons;kindergarten;;;;;"69123";Lyon
4.86692528358158;45.750556790033;way/62342617;Crèche Nové Josserand;kindergarten;;;;;"69123";Lyon
4.86442806802367;45.7472264663328;way/62345578;École primaire Paul-Emile Victor;school;primaire;public;0693625R;;"69123";Lyon
4.87709808797324;45.7271577045432;way/62346399;École primaire Jean Macé;school;primaire;public;0693473A;;"69123";Lyon
4.86871204768571;45.7437634128444;way/62346804;École primaire privée Saint-Maurice;school;primaire;private;0693829M;;"69123";Lyon
4.87746818148755;45.7269663307901;way/62346832;École maternelle Jean Macé;school;maternelle;public;0691173A;;"69123";Lyon
4.87939636338994;45.7417196688794;way/62348580;ISPB Faculté de Pharmacie Botanique;university;;;;;"69123";Lyon
4.87693100697844;45.7330744446228;way/62350235;Centre Inter-Régional de Formation Alternée en Plasturgie;college;;private;;;"69123";Lyon
4.88228403473942;45.7361866431386;way/62350249;École maternelle Édouard Herriot;school;maternelle;public;0691171Y;;"69123";Lyon
4.88218163170666;45.7406240313238;way/62350742;Amphithéatre Jean-François Cier;university;;;;;"69123";Lyon
4.8879132497182;45.7384728506978;way/62351501;Université Claude Bernard - Lyon 1 - Faculté d'odontologie;college;;;;;"69123";Lyon
4.86571639498908;45.7477594863865;way/625375280;Campus Sciences-U Lyon;college;;;;;"69123";Lyon
4.83187993898701;45.7394482367952;way/625637111;Lycée professionnel Louise Labé;school;lycée professionnel;public;0690046A;;"69123";Lyon
4.84711577704069;45.7554703123938;way/625649705;Lycée Ampère-Saxe;school;lycée;public;0690023A;;"69123";Lyon
4.79742867336623;45.7849352900502;way/64467173;Lycée La Martinière Duchère;school;lycée;public;0690038S;Q18380072;"69123";Lyon
4.85221966244445;45.746697592234;way/64930516;Université de Lyon (PRES);university;;;;Q10176;"69123";Lyon
4.85868836277444;45.7476456714603;way/64931368;Institut supérieur de communication et de publicité;college;;private;0694315R;;"69123";Lyon
4.85368560668479;45.7683736011754;way/655318457;École primaire Louis Pradel;school;primaire;public;0693600N;;"69123";Lyon
4.82109149435121;45.7389575823698;way/656695312;Confluence Institute for Innovation and Creative Strategies in Architecture;university;;;;;"69123";Lyon
4.8537788475716;45.7556757941366;way/668388121;École primaire Léon Jouhaux;school;primaire;public;0692740D;;"69123";Lyon
4.81725839944911;45.7809685761671;way/675133978;Internat Adolphe Favre;school;;;;;"69123";Lyon
4.82326953781835;45.770733424345;way/675854442;Institution des Chartreux;school;;private;;Q769526;"69123";Lyon
4.79395761220468;45.7817886760687;way/68800751;École primaire Les Anémones;school;primaire;public;0692977L;;"69123";Lyon
4.7946916994277;45.7878938254715;way/68896681;École primaire Les Bleuets;school;primaire;public;0693455F;;"69123";Lyon
4.7955894524349;45.7891497516167;way/69072742;Collège Victor Schoelcher;school;collège;public;"0690036P;0691672T";;"69123";Lyon
4.83641558882004;45.7503993947241;way/691377254;Bélénos;university;;;;;"69123";Lyon
4.85299213842071;45.7464384023088;way/691949704;Etablissement scolaire provisoire;school;;;;;"69123";Lyon
4.8605694859407;45.7479993211657;way/694531440;Université Lyon 3 - Campus Manufacture des Tabacs;university;;;;;"69123";Lyon
4.83557600436338;45.7465419029627;way/700244365;Centre Berthelot;university;;;;Q2944799;"69123";Lyon
4.83357663119815;45.7416335176773;way/708509590;École des Girondins;school;primaire;public;;;"69123";Lyon
4.82279546246827;45.763306705172;way/708581651;École Catholique des Arts et Métiers;college;;;;;"69123";Lyon
4.81763164954667;45.7395595389124;way/733250780;;college;;;;;"69123";Lyon
4.8233905329544;45.7663540512203;way/734010156;MADE iN Sainte-Marie Lyon;college;;;;;"69123";Lyon
4.83891126033237;45.7389840808393;way/79816068;École primaire François Auguste Ravier;school;primaire;public;0691175C;;"69123";Lyon
4.87039875997992;45.7568843876438;way/803180995;École primaire Paul Bert;school;primaire;public;0693707E;;"69123";Lyon
4.82171780777721;45.7475137372522;way/82189711;Institut d'étiopathie de Lyon;college;;private;;;"69123";Lyon
4.82659851591699;45.7515598812879;way/82252569;Université Catholique de Lyon;university;;;;;"69123";Lyon
4.82658455845575;45.7558604588235;way/82255320;Lycée professionnel privé Institut Technique des Carrières Carole;school;lycée;private;0691875N;;"69123";Lyon
4.82914477545998;45.7562571306657;way/82255489;Collège privé Chevreul;school;collège;private;0692932M;;"69123";Lyon
4.83501673117372;45.7626337699592;way/82399859;Centre de formation des enseignants de la musique;college;;;0693860W;;"69123";Lyon
4.83371292252651;45.7654990924134;way/83999195;École générale privée Cours Pascal;school;lycée;private;0690557F;;"69123";Lyon
4.83257729341139;45.7674802733547;way/84629600;Lycée professionnel privé de Coiffure;school;lycée;private;0691724Z;;"69123";Lyon
